input_id	dealiased_id	standard_id	short_id
doi:10.1029/2018MS001472	doi:10.1029/2018MS001472	doi:10.1029/2018ms001472	13FMEVO0K
doi:10.1029/2020GL088376	doi:10.1029/2020GL088376	doi:10.1029/2020gl088376	RjnHgoPE
doi:10.1017/jfm.2016.803	doi:10.1017/jfm.2016.803	doi:10.1017/jfm.2016.803	E33675Ma
doi:10.1146/annurev-fluid-010719-060214	doi:10.1146/annurev-fluid-010719-060214	doi:10.1146/annurev-fluid-010719-060214	xOJKw7GQ
doi:10.1126/sciadv.1602614	doi:10.1126/sciadv.1602614	doi:10.1126/sciadv.1602614	ZaA7QBeu
arxiv:1806.07366	arxiv:1806.07366	arxiv:1806.07366	VAgOiaNS
arxiv:2001.04385	arxiv:2001.04385	arxiv:2001.04385	DBUvbeFG
arxiv:2009.02296	arxiv:2009.02296	arxiv:2009.02296	mCrgYDvu
arxiv:2006.13311	arxiv:2006.13311	arxiv:2006.13311	z5uXTNuf
doi:10.1016/j.neunet.2006.01.001	doi:10.1016/j.neunet.2006.01.001	doi:10.1016/j.neunet.2006.01.001	19K3s11K5
doi:10/bcq5xk	doi:10/bcq5xk	doi:10.1016/s1463-5003(02)00010-0	zWNk6qwv
doi:10.1016/j.neunet.2006.01.002	doi:10.1016/j.neunet.2006.01.002	doi:10.1016/j.neunet.2006.01.002	18qi79kTB
isbn:9780192802736	isbn:9780192802736	isbn:9780192802736	zPFa8ajQ
tag:these-cd	url:https://tel.archives-ouvertes.fr/tel-00679918/	url:https://tel.archives-ouvertes.fr/tel-00679918/	jaTRQiYt
doi:10.1016/B978-0-7506-4552-2.10013-7	doi:10.1016/B978-0-7506-4552-2.10013-7	doi:10.1016/b978-0-7506-4552-2.10013-7	Idh06HJR
doi:10.1017/S0954102004002251	doi:10.1017/S0954102004002251	doi:10.1017/s0954102004002251	1C1q4lcSR
doi:10.1357/002224002762341230	doi:10.1357/002224002762341230	doi:10.1357/002224002762341230	17NmXhrzn
doi:10.1038/ngeo1391	doi:10.1038/ngeo1391	doi:10.1038/ngeo1391	DWHCQSYG
doi:10.1175/JPO-D-12-0121.1	doi:10.1175/JPO-D-12-0121.1	doi:10.1175/jpo-d-12-0121.1	1B6WafdKD
doi:10.1017/S095410200400224X	doi:10.1017/S095410200400224X	doi:10.1017/s095410200400224x	bNK6pmf5
doi:10/c3ztfm	doi:10/c3ztfm	doi:10.1175/1520-0485(1997)027<0005:akebai>2.0.co;2	pKTh3pOH
doi:10.1016/j.pocean.2006.07.004	doi:10.1016/j.pocean.2006.07.004	doi:10.1016/j.pocean.2006.07.004	EZ8KkBw6
doi:10.1175/2008JPO3878.1	doi:10.1175/2008JPO3878.1	doi:10.1175/2008jpo3878.1	GoOj1MSI
doi:10.5194/os-3-491-2007	doi:10.5194/os-3-491-2007	doi:10.5194/os-3-491-2007	yr7XZA61
doi:10.1098/rsta.2013.0057	doi:10.1098/rsta.2013.0057	doi:10.1098/rsta.2013.0057	hdatz4LS
doi:10/fsp92c	doi:10/fsp92c	doi:10.1175/1520-0485(1998)028<1832:otosls>2.0.co;2	f3PNNOio
doi:10.1357/002224011798765286	doi:10.1357/002224011798765286	doi:10.1357/002224011798765286	j8QT5ROw
doi:10.1029/2008GB003349	doi:10.1029/2008GB003349	doi:10.1029/2008gb003349	fNhkuABD
doi:10.5479/si.9781935623069.175	doi:10.5479/si.9781935623069.175	doi:10.5479/si.9781935623069.175	s4DWfX4t
doi:10.1016/B978-0-12-391851-2.00018-0	doi:10.1016/B978-0-12-391851-2.00018-0	doi:10.1016/b978-0-12-391851-2.00018-0	ZRtaSZd3
isbn:9780948277276	isbn:9780948277276	isbn:9780948277276	ayUDGv6p
doi:10.1038/ngeo362	doi:10.1038/ngeo362	doi:10.1038/ngeo362	yNqVmo2q
doi:10.1126/science.1065863	doi:10.1126/science.1065863	doi:10.1126/science.1065863	YqL7O5Y9
doi:10.1175/2008JCLI2131.1	doi:10.1175/2008JCLI2131.1	doi:10.1175/2008jcli2131.1	fUa6elz0
doi:10.1029/2010JC006832	doi:10.1029/2010JC006832	doi:10.1029/2010jc006832	KASfwvBa
doi:10.1175/2008JCLI2384.1	doi:10.1175/2008JCLI2384.1	doi:10.1175/2008jcli2384.1	RhT9l2O5
doi:10.1175/JCLI-D-12-00834.1	doi:10.1175/JCLI-D-12-00834.1	doi:10.1175/jcli-d-12-00834.1	JA95poTM
doi:10.1175/JPO-D-13-0217.1	doi:10.1175/JPO-D-13-0217.1	doi:10.1175/jpo-d-13-0217.1	cfQrv7or
doi:10.1002/2014JC010470	doi:10.1002/2014JC010470	doi:10.1002/2014jc010470	Z5X7RD5o
doi:10.1029/2004GL021169	doi:10.1029/2004GL021169	doi:10.1029/2004gl021169	jBBYlGJB
doi:10.1017/CBO9781107415324.010	doi:10.1017/CBO9781107415324.010	doi:10.1017/cbo9781107415324.010	rfwTEvBJ
doi:10.1098/rsta.2013.0269	doi:10.1098/rsta.2013.0269	doi:10.1098/rsta.2013.0269	1A3r03Hq1
doi:10.1002/2013GL058921	doi:10.1002/2013GL058921	doi:10.1002/2013gl058921	1BTgLvreA
doi:10.1029/2007JC004257	doi:10.1029/2007JC004257	doi:10.1029/2007jc004257	vSOuqhMd
doi:10.5194/tc-6-871-2012	doi:10.5194/tc-6-871-2012	doi:10.5194/tc-6-871-2012	4Chep9SJ
doi:10.1029/2009GL037524	doi:10.1029/2009GL037524	doi:10.1029/2009gl037524	hxqo8pN0
doi:10.1126/science.1136188	doi:10.1126/science.1136188	doi:10.1126/science.1136188	InGFevLF
doi:10.5670/oceanog.2012.71	doi:10.5670/oceanog.2012.71	doi:10.5670/oceanog.2012.71	EQkY27fP
doi:10.1016/j.dsr.2011.12.003	doi:10.1016/j.dsr.2011.12.003	doi:10.1016/j.dsr.2011.12.003	x4hkPVK7
doi:10.5194/bg-12-1285-2015	doi:10.5194/bg-12-1285-2015	doi:10.5194/bg-12-1285-2015	ujNkrU18
doi:10.1016/j.rse.2013.01.014	doi:10.1016/j.rse.2013.01.014	doi:10.1016/j.rse.2013.01.014	16Dt67Exq
doi:10.1146/annurev-marine-010419-011028	doi:10.1146/annurev-marine-010419-011028	doi:10.1146/annurev-marine-010419-011028	167ObFhLt
doi:10.1038/NGEO1296	doi:10.1038/NGEO1296	doi:10.1038/ngeo1296	S2w0d99B
doi:10.1029/2009GM000924	doi:10.1029/2009GM000924	doi:10.1029/2009gm000924	ncmA10NP
doi:10.1175/JPO2913.1	doi:10.1175/JPO2913.1	doi:10.1175/jpo2913.1	C7jOoDZM
doi:10.1029/2006GB002916	doi:10.1029/2006GB002916	doi:10.1029/2006gb002916	ce1NaNX7
doi:10.1038/ngeo812	doi:10.1038/ngeo812	doi:10.1038/ngeo812	UUCtG6pa
doi:10.1029/2004JC002403	doi:10.1029/2004JC002403	doi:10.1029/2004jc002403	VsZyMXvC
doi:10.1002/2017GL074319	doi:10.1002/2017GL074319	doi:10.1002/2017gl074319	mEeaXEol
doi:10.1029/2006gl026499	doi:10.1029/2006gl026499	doi:10.1029/2006gl026499	B5tMqv3J
doi:10.1175/2009JCLI2640.1	doi:10.1175/2009JCLI2640.1	doi:10.1175/2009jcli2640.1	bGTAW4xx
doi:10.1175/JPO2980.1	doi:10.1175/JPO2980.1	doi:10.1175/jpo2980.1	YIs1muh3
doi:10.1175/2010JPO4353.1	doi:10.1175/2010JPO4353.1	doi:10.1175/2010jpo4353.1	NyUHCmwX
doi:10.1029/2006GL026499	doi:10.1029/2006GL026499	doi:10.1029/2006gl026499	B5tMqv3J
doi:10.1175/2007JCLI1925.1	doi:10.1175/2007JCLI1925.1	doi:10.1175/2007jcli1925.1	LjUFdkJp
doi:10.1175/JPO-D-12-057.1	doi:10.1175/JPO-D-12-057.1	doi:10.1175/jpo-d-12-057.1	74g4UJMs
doi:10.1175/JPO-D-11-023.1	doi:10.1175/JPO-D-11-023.1	doi:10.1175/jpo-d-11-023.1	GvG0ANFn
doi:10.1016/j.ocemod.2010.05.005	doi:10.1016/j.ocemod.2010.05.005	doi:10.1016/j.ocemod.2010.05.005	1CGK9FitH
doi:10.1175/JCLI-D-11-00309.1	doi:10.1175/JCLI-D-11-00309.1	doi:10.1175/jcli-d-11-00309.1	IUYZbdds
doi:10.1175/JPO-D-12-0178.1	doi:10.1175/JPO-D-12-0178.1	doi:10.1175/jpo-d-12-0178.1	kdq0TFue
doi:10.1175/JPO2649.1	doi:10.1175/JPO2649.1	doi:10.1175/jpo2649.1	m3nDaTvE
doi:10.1175/JPO3113.1	doi:10.1175/JPO3113.1	doi:10.1175/jpo3113.1	ZHYwP92B
doi:10.1002/gbc.20090	doi:10.1002/gbc.20090	doi:10.1002/gbc.20090	XBQfKNbw
doi:10.1038/s41598-017-17292-3	doi:10.1038/s41598-017-17292-3	doi:10.1038/s41598-017-17292-3	Q5wGCq4i
doi:10.1175/JPO-D-13-091.1	doi:10.1175/JPO-D-13-091.1	doi:10.1175/jpo-d-13-091.1	l3fIekeM
doi:10.1175/JPO-D-12-03.1	doi:10.1175/JPO-D-12-03.1	doi:10.1175/jpo-d-12-03.1	lZe1RbVZ
doi:10.5194/gmd-13-5465-2020	doi:10.5194/gmd-13-5465-2020	doi:10.5194/gmd-13-5465-2020	rTuzOM5K
tag:these-gm	url:https://tel.archives-ouvertes.fr/tel-01551769/	url:https://tel.archives-ouvertes.fr/tel-01551769/	u8FBiuw
tag:these-nm	url:https://tel.archives-ouvertes.fr/tel-01760438	url:https://tel.archives-ouvertes.fr/tel-01760438	M85BmlCV
doi:10.1038/nature19101	doi:10.1038/nature19101	doi:10.1038/nature19101	vIZVvA32
doi:10.1038/s41467-018-04101-2	doi:10.1038/s41467-018-04101-2	doi:10.1038/s41467-018-04101-2	lKjeG44P
doi:10.1038/srep35473	doi:10.1038/srep35473	doi:10.1038/srep35473	GI6Xj2OD
isbn:9780309214698	isbn:9780309214698	isbn:9780309214698	12hhtp5Ld
url:http://talleylab.ucsd.edu/ltalley/sio210/Southern	url:http://talleylab.ucsd.edu/ltalley/sio210/Southern	url:http://talleylab.ucsd.edu/ltalley/sio210/Southern	XhD65hnv
doi:10/bfstwx	doi:10/bfstwx	doi:10.1175/1520-0442(2003)016<4134:titsam>2.0.co;2	8ujf9hFa
doi:10.1002/joc.3558	doi:10.1002/joc.3558	doi:10.1002/joc.3558	1ru4z5Mr
doi:10.1002/2016JD025305	doi:10.1002/2016JD025305	doi:10.1002/2016jd025305	paC6xqc
doi:10.1175/BAMS-D-14-00018.1	doi:10.1175/BAMS-D-14-00018.1	doi:10.1175/bams-d-14-00018.1	GF7XERGt
doi:10.1073/pnas.1906556116	doi:10.1073/pnas.1906556116	doi:10.1073/pnas.1906556116	5g1cxDFM
doi:10.1371/journal.pone.0064756	doi:10.1371/journal.pone.0064756	doi:10.1371/journal.pone.0064756	vAiPJJcm
doi:10.1029/2007JC004269	doi:10.1029/2007JC004269	doi:10.1029/2007jc004269	JUsc37DB
doi:10.1029/2012JC008141	doi:10.1029/2012JC008141	doi:10.1029/2012jc008141	V4e2paGj
doi:10.1016/j.ocemod.2013.01.003	doi:10.1016/j.ocemod.2013.01.003	doi:10.1016/j.ocemod.2013.01.003	ro9ywNGB
doi:10.1175/JCLI-D-13-00301.1	doi:10.1175/JCLI-D-13-00301.1	doi:10.1175/jcli-d-13-00301.1	utUjgxoP
doi:10.1175/JCLI-D-11-00612.1	doi:10.1175/JCLI-D-11-00612.1	doi:10.1175/jcli-d-11-00612.1	DfPI7TPX
doi:10.1029/2005GL024042	doi:10.1029/2005GL024042	doi:10.1029/2005gl024042	ZM2xuByY
doi:10.1038/ngeo1188	doi:10.1038/ngeo1188	doi:10.1038/ngeo1188	siIwlt0G
doi:10.1038/nclimate2132	doi:10.1038/nclimate2132	doi:10.1038/nclimate2132	e5q2XCJG
doi:10.1038/nature08471	doi:10.1038/nature08471	doi:10.1038/nature08471	rxmBtdOk
doi:10.1029/2011GL046583	doi:10.1029/2011GL046583	doi:10.1029/2011gl046583	pevBsrq
doi:10.1002/9781118786352.wbieg0567	doi:10.1002/9781118786352.wbieg0567	doi:10.1002/9781118786352.wbieg0567	x3QlBdvE
doi:10.3189/S0022143000023327	doi:10.3189/S0022143000023327	doi:10.3189/s0022143000023327	ZhUrKrrW
doi:10.1126/science.1249055	doi:10.1126/science.1249055	doi:10.1126/science.1249055	5HW5nUd0
doi:10.1038/nature12567	doi:10.1038/nature12567	doi:10.1038/nature12567	DFofqo52
doi:10.1073/pnas.1415137112	doi:10.1073/pnas.1415137112	doi:10.1073/pnas.1415137112	cZHFFD7f
doi:10.1002/2014GL060613	doi:10.1002/2014GL060613	doi:10.1002/2014gl060613	ikMNotQF
doi:10.1002/grl.50820	doi:10.1002/grl.50820	doi:10.1002/grl.50820	1Fts7OXnR
doi:10.1029/2000JC900086	doi:10.1029/2000JC900086	doi:10.1029/2000jc900086	1B8dcEwLk
doi:10.1038/ngeo1767	doi:10.1038/ngeo1767	doi:10.1038/ngeo1767	e7TsNxzy
doi:10.1016/j.ocemod.2010.05.001	doi:10.1016/j.ocemod.2010.05.001	doi:10.1016/j.ocemod.2010.05.001	eXl1q8wy
doi:10.1016/j.ocemod.2016.05.001	doi:10.1016/j.ocemod.2016.05.001	doi:10.1016/j.ocemod.2016.05.001	V48cXdj
doi:10.1016/j.ocemod.2018.07.002	doi:10.1016/j.ocemod.2018.07.002	doi:10.1016/j.ocemod.2018.07.002	11XBM9WLm
doi:10.1016/j.ocemod.2017.11.009	doi:10.1016/j.ocemod.2017.11.009	doi:10.1016/j.ocemod.2017.11.009	uEtt821g
doi:10.1126/science.1228102	doi:10.1126/science.1228102	doi:10.1126/science.1228102	1CxJMQjCC
doi:10.1126/science.1128243	doi:10.1126/science.1128243	doi:10.1126/science.1128243	ps5wXmm4
doi:10.1029/2003GL018732	doi:10.1029/2003GL018732	doi:10.1029/2003gl018732	JErGD3fk
doi:10.1016/j.ocemod.2018.11.001	doi:10.1016/j.ocemod.2018.11.001	doi:10.1016/j.ocemod.2018.11.001	fL1FFJ4l
doi:10.5194/gmd-8-1547-2015	doi:10.5194/gmd-8-1547-2015	doi:10.5194/gmd-8-1547-2015	bS4crRXP
doi:10.1029/2018GL077676	doi:10.1029/2018GL077676	doi:10.1029/2018gl077676	yvRgQEpU
doi:10.1002/2016JC012509	doi:10.1002/2016JC012509	doi:10.1002/2016jc012509	YBciqC5
doi:10.1002/2017JC013059	doi:10.1002/2017JC013059	doi:10.1002/2017jc013059	q2I3Xy1a
tag:these-aj	url:https://tel.archives-ouvertes.fr/tel-02861906	url:https://tel.archives-ouvertes.fr/tel-02861906	XsziGa9h
doi:10.1017/CBO9780511801198	doi:10.1017/CBO9780511801198	doi:10.1017/cbo9780511801198	FEPndNhH
doi:10.1175/JPO-D-15-0244.1	doi:10.1175/JPO-D-15-0244.1	doi:10.1175/jpo-d-15-0244.1	BFOVrsCH
doi:10.1146/annurev.earth.32.071603.152635	doi:10.1146/annurev.earth.32.071603.152635	doi:10.1146/annurev.earth.32.071603.152635	3IF6s5yv
doi:10.1016/j.ocemod.2016.02.005	doi:10.1016/j.ocemod.2016.02.005	doi:10.1016/j.ocemod.2016.02.005	3pCOarYo
doi:10.1175/JPO-D-16-0086.1	doi:10.1175/JPO-D-16-0086.1	doi:10.1175/jpo-d-16-0086.1	WMm76oqh
doi:10.1146/annurev.fluid.40.111406.102139	doi:10.1146/annurev.fluid.40.111406.102139	doi:10.1146/annurev.fluid.40.111406.102139	TU6TL3AB
doi:10.1038/ngeo1657	doi:10.1038/ngeo1657	doi:10.1038/ngeo1657	1523Zbz4t
doi:10.1146/annurev.fluid.36.050802.122121	doi:10.1146/annurev.fluid.36.050802.122121	doi:10.1146/annurev.fluid.36.050802.122121	EIj1VyrB
doi:10.1017/9781107588417	doi:10.1017/9781107588417	doi:10.1017/9781107588417	2uXgNSgj
doi:10.1146/annurev.earth.26.1.219	doi:10.1146/annurev.earth.26.1.219	doi:10.1146/annurev.earth.26.1.219	ohEjYKqn
doi:csd3g6	doi:csd3g6	doi:csd3g6	qaHr59Au
doi:10.1175/JPO2771.1	doi:10.1175/JPO2771.1	doi:10.1175/jpo2771.1	3bp9TTvb
doi:10.1029/2017JC013516	doi:10.1029/2017JC013516	doi:10.1029/2017jc013516	1EJImFnPI
doi:10/fw9pdr	doi:10/fw9pdr	doi:10.1175/1520-0485(2002)032<1699:tsaeom>2.0.co;2	2QxB35IJ
doi:10.1175/JPO3027.1	doi:10.1175/JPO3027.1	doi:10.1175/jpo3027.1	AGDRNqHU
doi:10.1175/2011JPO4404.1	doi:10.1175/2011JPO4404.1	doi:10.1175/2011jpo4404.1	M9w7aZfV
doi:10.1029/2006GL027813	doi:10.1029/2006GL027813	doi:10.1029/2006gl027813	1As6fpnSd
doi:10.3390/fluids2030045	doi:10.3390/fluids2030045	doi:10.3390/fluids2030045	mVYTjhyC
doi:10.1175/JPO-D-19-0034.1	doi:10.1175/JPO-D-19-0034.1	doi:10.1175/jpo-d-19-0034.1	mTGrFSU3
doi:10.1029/2018EA000492	doi:10.1029/2018EA000492	doi:10.1029/2018ea000492	4NNGCzgh
doi:10.1175/JPO-D-14-0071.1	doi:10.1175/JPO-D-14-0071.1	doi:10.1175/jpo-d-14-0071.1	qMMJVLT
doi:10.1007/s10236-017-1083-y	doi:10.1007/s10236-017-1083-y	doi:10.1007/s10236-017-1083-y	HggLbHiD
doi:10.1175/JPO-D-16-0117.1	doi:10.1175/JPO-D-16-0117.1	doi:10.1175/jpo-d-16-0117.1	wJpnyvXt
doi:10.1175/JPO-D-14-0205.1	doi:10.1175/JPO-D-14-0205.1	doi:10.1175/jpo-d-14-0205.1	AbzQKJr3
doi:10.1175/2008JPO3810.1	doi:10.1175/2008JPO3810.1	doi:10.1175/2008jpo3810.1	Qy9l0jje
doi:10.1038/ncomms6636	doi:10.1038/ncomms6636	doi:10.1038/ncomms6636	1Xyor5Hi
doi:10.1002/2016GL071349	doi:10.1002/2016GL071349	doi:10.1002/2016gl071349	Xzvh19by
doi:10.1016/j.ocemod.2015.05.002	doi:10.1016/j.ocemod.2015.05.002	doi:10.1016/j.ocemod.2015.05.002	1NaEN2Nh
doi:10.1038/ncomms7862	doi:10.1038/ncomms7862	doi:10.1038/ncomms7862	178qyZRQD
doi:10.1175/JPO-D-15-0170.1	doi:10.1175/JPO-D-15-0170.1	doi:10.1175/jpo-d-15-0170.1	sjY93joS
doi:10.1002/2016GL068009	doi:10.1002/2016GL068009	doi:10.1002/2016gl068009	1DmIrEQie
doi:10.1029/2019MS001724	doi:10.1029/2019MS001724	doi:10.1029/2019ms001724	adSwpJa6
doi:10.1029/2020GL087388	doi:10.1029/2020GL087388	doi:10.1029/2020gl087388	17pzE7vT3
doi:10.1146/annurev-marine-010814-015746	doi:10.1146/annurev-marine-010814-015746	doi:10.1146/annurev-marine-010814-015746	KBJqwBkj
doi:10.1017/jfm.2020.510	doi:10.1017/jfm.2020.510	doi:10.1017/jfm.2020.510	hmxg5Fwn
doi:10.1017/jfm.2019.465	doi:10.1017/jfm.2019.465	doi:10.1017/jfm.2019.465	4zOGddp4
doi:10.1103/PhysRevFluids.5.014801	doi:10.1103/PhysRevFluids.5.014801	doi:10.1103/physrevfluids.5.014801	E9g7Uux1
